Temp	x_i	v	E	GG	Gf	L1	L2	L3	L4	L5	L6	L7	L8	MB	MC	MD	ME	MM	MS	MT	MTA	MU	MZ	Mnue	Mnum	Mnut	Pi	Tcrit	Ti	Tr	WH1	WH2	WH3	WHc	WHsm	WT	WW	WZ	aEWM1	aS	alph1	alph2	alph3	m22sq	mG0	mGch	mH1	mH2	mHc	mHsm	mssq	v	m11sq	Mnue	Mnum	Mnut	Me	MM	MTA	MU	MC	MT	MD	MS	MB	MZ	THMZ	MW	THMW	mHsm	sign_mHsmsq	THmHsm	mG0	sign_mG0sq	THmG0	mGch	sign_mGchsq	THmGch	mH1	THmH1	mH2	THmH2	mH3	THmH3	mHc	THmHc	mHm	RR1x1	RR1x2	RR1x3	RR2x1	RR2x2	RR2x3	RR3x1	RR3x2	RR3x3	alph1	alph2	alph3	yu1	yu2	yu3	yd1	yd2	yd3	yl1	yl2	yl3	MDM	DSm0	DSm1	DSm2	DSm3	DSm4	DSdof0	DSdof1	DSdof2	DSdof3	DSdof4	
2	602.6140387554534	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
2.2	547.8309443231394	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
2.4	502.1783656295444	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
2.6	463.5492605811179	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
2.8	430.438599111038	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
3	401.7426925036355	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
3.200000000000001	376.6337742221583	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
3.400000000000001	354.4788463267371	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
3.600000000000001	334.7855770863629	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
3.800000000000001	317.1652835555016	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
4.000000000000001	301.3070193777266	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
4.200000000000001	286.9590660740253	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
4.400000000000001	273.9154721615696	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
4.600000000000001	262.0061038067187	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
4.800000000000002	251.0891828147721	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
5.000000000000002	241.0456155021812	246.2196507818956	2.71828	1.21358	1.16637e-05	0.2581069881028696	1.942473804885278	1.250029485977856	0.6546580827755408	1.145791528451966	2.413586953772465	18.46649409350695	-1.816621465354054	4.919999999755383	1.509999999924925	0.09999999999502811	0	0.1056583714947468	0.09999999999502811	172.4999999914235	1.776819999911658	0.09999999999502811	91.18759999546626	0	0	0	3.14159	176.3933160601145	4840.29726972455	2942.630650624522	0	0	0	0	0	2	2.085	2.4952	0.00775795	0.1172	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	1430125.777248984	0	0	1205.228077510907	1233.851196300894	1211.616034705532	124.1964841155605	2591744377.85741	246.2196507818956	-7823.75405	0	0	0	0	0.1056583714947468	1.776819999911658	0.09999999999502811	1.509999999924925	172.4999999914235	0.09999999999502811	0.09999999999502811	4.919999999755383	91.18759999546626	91.18759999546626	80.38499999600334	80.38499999600334	124.1964841155605	1	124.1964841155605	0	1	0	0	1	0	1205.228077510907	1205.228077510907	1233.851196300894	1233.851196300894	50914.6750867666	50914.6750867666	1211.616034705532	1211.616034705532	1211.616001691772	0.004773844387498239	-0.9999884987252361	-0.0004613317814169874	0.9999885660372501	0.004773972707520433	-0.0002774515314715244	0.0002796507257588245	-0.0004600019961303761	0.9999998550968071	-1.566022463766877	-0.0004613317977809664	-0.0002774515645557939	0.0005743707124154397	0.008672997757473142	0.9907894789166337	0.0005743707124154397	0.0005743707124154397	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	1205.228077510907	1211.616034705532	50914.6750867666	1233.851196300894	1211.616034705532	1205.228077510907	1	1	1	1	1	
